범주,범주코드,대표전용면적_m2,적용면적범위,파일명,파일경로,검색어,검색제목,원본문서URL,원본이미지URL,최종이미지URL,출처도메인,가로,세로,가로세로비,원본파일크기,이미지해시,검색점수,검토상태
전용84,84,84,79㎡ 이상 93㎡ 미만,floorplan_84_05.jpg,아파트_공통_이미지\평면도\전용84\floorplan_84_05.jpg,대한민국 아파트 전용 84㎡ 평면도,화성동탄2신도시 A84블록 공공분양주택 전용면적 74㎡·84㎡형 평면도 - dyurwitcherry's it.ἄλφα,https://minorcastle.blogspot.com/2018/04/2-a84-7484.html,https://4.bp.blogspot.com/-55OTaOyyrQc/Wt6cA36PK_I/AAAAAAAABws/QykdvbGm_aQuWaTwjIQkquN3A7vwabr3QCLcBGAs/s1600/HSDT2A84BL_84A.png,https://4.bp.blogspot.com/-55OTaOyyrQc/Wt6cA36PK_I/AAAAAAAABws/QykdvbGm_aQuWaTwjIQkquN3A7vwabr3QCLcBGAs/s1600/HSDT2A84BL_84A.png,minorcastle.blogspot.com,1600,1021,1.567,836104,09ff1fff0f831f81ff00ff80c3c081f181f983ff81f883f0ffffffffbf88ffff,30,검토필요
전용84,84,84,79㎡ 이상 93㎡ 미만,floorplan_84_06.jpg,아파트_공통_이미지\평면도\전용84\floorplan_84_06.jpg,대한민국 아파트 전용 84㎡ 평면도,목포대성 LH 천년나무 아파트 공공분양주택 전용면적 84㎡형 평면도 - dyurwitcherry's it.ἄλφα,https://minorcastle.blogspot.com/2023/06/lh-84.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhmIG0k39Kwefg-83KTrU_wGwuPnyGeYl4dnmCeRMflA57mJwqS27CqRt00RSpoN_QRlCyGmi7odrbEJwt_jAf2PxnV8ho5ZWlvgixLady2iVwxylnfcou93bnwfgBILkDg8-84DQfMwIsSsPEkiR0E1wrt1GugS0lGisAzEsx-EAgPPOJHNGBzIWJZ/s16000/MPDS84C.png,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhmIG0k39Kwefg-83KTrU_wGwuPnyGeYl4dnmCeRMflA57mJwqS27CqRt00RSpoN_QRlCyGmi7odrbEJwt_jAf2PxnV8ho5ZWlvgixLady2iVwxylnfcou93bnwfgBILkDg8-84DQfMwIsSsPEkiR0E1wrt1GugS0lGisAzEsx-EAgPPOJHNGBzIWJZ/s16000/MPDS84C.png,minorcastle.blogspot.com,1623,2049,0.792,1443658,05f707ff8fffffffffc3ffc3ffc9fffbf8fff807f007e047c0c3f007fe07ffcf,30,검토필요
전용84,84,84,79㎡ 이상 93㎡ 미만,floorplan_84_07.jpg,아파트_공통_이미지\평면도\전용84\floorplan_84_07.jpg,대한민국 아파트 전용 84㎡ 평면도,안성아양 B4블록 10년 공공임대주택 안성 서희스타힐스 4단지 아파트 전용면적 74㎡·84㎡형 평면도 ...,https://minorcastle.blogspot.com/2023/08/b4-10-4-7484.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjNf2q2adYyzLsLvV7P-xRP7aEeHWK9_kl8jBruBLcPZ87h1peqiVaLszPPG4Ir-du40gXASBqmsQgYoYoirUy34IsyRoxq8fz3psCse06yZLEz2BkqtiAXoN2IcOmrvOlbdMrzzvNyUi5hrm15LyPskXPXFZK1IYRUTNdnvR2TircyeO1FCXAzrqD80O0/s5329/ASAYB4BL84B.png,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjNf2q2adYyzLsLvV7P-xRP7aEeHWK9_kl8jBruBLcPZ87h1peqiVaLszPPG4Ir-du40gXASBqmsQgYoYoirUy34IsyRoxq8fz3psCse06yZLEz2BkqtiAXoN2IcOmrvOlbdMrzzvNyUi5hrm15LyPskXPXFZK1IYRUTNdnvR2TircyeO1FCXAzrqD80O0/s5329/ASAYB4BL84B.png,minorcastle.blogspot.com,5329,2769,1.925,1793630,ffff00ff00ff00ff00ff00ffffcfffc793e3818183c083e481f183f9ffffffff,30,검토필요
전용84,84,84,79㎡ 이상 93㎡ 미만,floorplan_84_08.jpg,아파트_공통_이미지\평면도\전용84\floorplan_84_08.jpg,대한민국 아파트 전용 84㎡ 평면도,블라인드 | 부동산: 84타입 평면도 봐주세요,https://www.teamblind.com/kr/post/84타입-평면도-봐주세요-d4fpusgb,https://d2u3dcdbebyaiu.cloudfront.net/uploads/atch_img/686/a34f353a6de6df7135006e1a19b7d5f3_res.jpeg,https://d2u3dcdbebyaiu.cloudfront.net/uploads/atch_img/686/a34f353a6de6df7135006e1a19b7d5f3_res.jpeg,teamblind.com,1003,1082,0.927,63418,ff7ff87ff81ff81ff81ffffffffffbfff9ff01ff01ff001f001f001300030003,30,검토필요
전용84,84,84,79㎡ 이상 93㎡ 미만,floorplan_84_09.jpg,아파트_공통_이미지\평면도\전용84\floorplan_84_09.jpg,대한민국 아파트 전용 84㎡ 평면도,"세곡2지구 4단지 장기전세주택 평면도 59㎡형, 84㎡형 | 아파트 평면도, 주택평면도, 집 평면도",https://kr.pinterest.com/pin/767160117762540767/,https://i.pinimg.com/736x/13/f9/6e/13f96ebfa13fc3748e85ccfb5d93d236.jpg,https://i.pinimg.com/736x/13/f9/6e/13f96ebfa13fc3748e85ccfb5d93d236.jpg,kr.pinterest.com,700,450,1.556,53116,ffffffffe003e013e013e013c003c103c603e013e213c293c003fe03ff3fffff,28,검토필요
전용84,84,84,79㎡ 이상 93㎡ 미만,floorplan_84_10.jpg,아파트_공통_이미지\평면도\전용84\floorplan_84_10.jpg,대한민국 아파트 전용 84㎡ 평면도,블라인드 | 부동산: 형들 주복 84평면도 비교해주세여,https://www.teamblind.com/kr/post/형들-주복-84평면도-비교해주세여-AaZJUxnJ,https://d2u3dcdbebyaiu.cloudfront.net/uploads/atch_img/891/ce236d82b6eeafa8dd2a19b14641c203_res.jpeg,https://d2u3dcdbebyaiu.cloudfront.net/uploads/atch_img/891/ce236d82b6eeafa8dd2a19b14641c203_res.jpeg,teamblind.com,1280,695,1.842,111782,ffffbfff8ffffffffc07fc07fc07fc01fc01fc01fc01fc01fc01fc01fc41ffff,25,검토필요
전용101,101,101,93㎡ 이상 109㎡ 미만,floorplan_101_01.jpg,아파트_공통_이미지\평면도\전용101\floorplan_101_01.jpg,대한민국 아파트 전용 101㎡ 평면도,천안신방 행복주택 LH 1단지 아파트 전용면적 16㎡형·26㎡형·36㎡형 평면도 - 白夜行: 하얀 어둠 속을 걷다.,https://www.whitenight.co.kr/2023/08/lh-1-162636.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjc9AhYIt-Nxwm9mJzNafStUM9LF1kMbbphNxGzbJyNw0gf6tBoWT1m567Ni81ubrpkg3Lx101Qk1xqeY-uqIuwUH7CjsE5d_ppOLOxofxnw5L3AmxauJ849fC67HsN0IzFXnlXWG-ehmyryZQGw9MJFGI4uC4bRAMxxvPDO5EijDQVUWnuiLhxrAzp5ug/s16000/CASBHP16A.png,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjc9AhYIt-Nxwm9mJzNafStUM9LF1kMbbphNxGzbJyNw0gf6tBoWT1m567Ni81ubrpkg3Lx101Qk1xqeY-uqIuwUH7CjsE5d_ppOLOxofxnw5L3AmxauJ849fC67HsN0IzFXnlXWG-ehmyryZQGw9MJFGI4uC4bRAMxxvPDO5EijDQVUWnuiLhxrAzp5ug/s16000/CASBHP16A.png,whitenight.co.kr,5827,3601,1.618,1318573,1fff1fef1fcf218733872187e18321c3e3c323e1e3e1e3f1e3f1e3ffffffffff,30,검토필요
전용101,101,101,93㎡ 이상 109㎡ 미만,floorplan_101_02.jpg,아파트_공통_이미지\평면도\전용101\floorplan_101_02.jpg,대한민국 아파트 전용 101㎡ 평면도,수원광교마을 40단지 전용면적 74㎡·84㎡·101㎡·120㎡·135㎡형 평면도 - dyurwitcherry's it.ἄλφα,https://minorcastle.blogspot.com/2016/04/40-7484101120135.html,https://3.bp.blogspot.com/-R5Fi18ye3DY/VwXJFl2p6XI/AAAAAAAAAc8/2kpHtaPLg60q-ls1r9lHGUh9kyzGjLwpQ/s1600/120.7200A.png,https://3.bp.blogspot.com/-R5Fi18ye3DY/VwXJFl2p6XI/AAAAAAAAAc8/2kpHtaPLg60q-ls1r9lHGUh9kyzGjLwpQ/s1600/120.7200A.png,minorcastle.blogspot.com,730,702,1.04,240219,c9ffddfbcfe9cffffffffffffff3e033e01fe007e007e007e007e007e007ffff,28,검토필요
전용101,101,101,93㎡ 이상 109㎡ 미만,floorplan_101_03.jpg,아파트_공통_이미지\평면도\전용101\floorplan_101_03.jpg,대한민국 아파트 전용 101㎡ 평면도,부산연산 행복주택 아파트 전용면적 16㎡·26㎡·44㎡형 평면도 - dyurwitcherry's it.ἄλφα,https://minorcastle.blogspot.com/2023/06/162644.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEja7i4EUs4ECT10_lYNUbxDSyU2xamO2XuaXdYlsrPjyVHGnMzxZDAyDGK5jL-hhCEE7bx7jtj6bNuC6OwaDJnNJYW6jH2frI27HQTc3IG0SZoPF_z4GcjTPctL0W8w_Bj_Nuov4iE-FQdNPd6CRB71RBuzqqDQjFnO34H_xtnlU11JpMqo-dI9lOiUAAg/s16000/BSYS2HP16.png,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEja7i4EUs4ECT10_lYNUbxDSyU2xamO2XuaXdYlsrPjyVHGnMzxZDAyDGK5jL-hhCEE7bx7jtj6bNuC6OwaDJnNJYW6jH2frI27HQTc3IG0SZoPF_z4GcjTPctL0W8w_Bj_Nuov4iE-FQdNPd6CRB71RBuzqqDQjFnO34H_xtnlU11JpMqo-dI9lOiUAAg/s16000/BSYS2HP16.png,minorcastle.blogspot.com,5217,3209,1.626,1104210,3fff3fdf3f9721f3e1e161e0e1c1e1c1e183e1c3f3c7ffefffffffffff80ff87,23,검토필요
전용101,101,101,93㎡ 이상 109㎡ 미만,floorplan_101_04.jpg,아파트_공통_이미지\평면도\전용101\floorplan_101_04.jpg,대한민국 아파트 전용 101㎡ 평면도,경북도청이전신도시 행복주택 경북도청 LH 아파트 전용면적 21㎡형·26㎡형·36㎡형 평면도 - dyurwitcherry's it ...,https://minorcastle.blogspot.com/2023/07/lh-212636.html,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj4qsKVSllXLeO7WcS-1xTllNS2YaAbFwQ9KwFTtI5Ta8fOue0hyT4CIZjKVWEtcmv4036cSN6UdcgZWvIsFqnN2q7DJGAIVbZtEYesgj-Gia95M7Jb3B6qAgINKQFPn12yQucru8R_MndnRuDOVdJwc7mRJkY22nrZvD9tzso79DDrFV-YVOi9Vz1VGLs/s3597/GBDCHP21A.png,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj4qsKVSllXLeO7WcS-1xTllNS2YaAbFwQ9KwFTtI5Ta8fOue0hyT4CIZjKVWEtcmv4036cSN6UdcgZWvIsFqnN2q7DJGAIVbZtEYesgj-Gia95M7Jb3B6qAgINKQFPn12yQucru8R_MndnRuDOVdJwc7mRJkY22nrZvD9tzso79DDrFV-YVOi9Vz1VGLs/s3597/GBDCHP21A.png,minorcastle.blogspot.com,3597,2173,1.655,1592093,3fff3ffd3fc8f788e3852387e383f3c333c1e3e3f3e3ffff7fffffff7f8fffff,23,검토필요
